date;open;high;low;close;adj close;volume
27/12/2022;84970001;85349998;83000000;83040001;83040001;57284000
23/12/2022;83250000;85779999;82930000;85250000;85250000;57433700
22/12/2022;85519997;85680000;82250000;83790001;83790001;81431300
21/12/2022;86180000;87230003;85209999;86769997;86769997;59267200
20/12/2022;85330002;86610001;84330002;85190002;85190002;74348300
19/12/2022;87510002;87629997;84510002;84919998;84919998;83531500
16/12/2022;88269997;89349998;86730003;87860001;87860001;146144100
15/12/2022;89889999;89970001;87470001;88449997;88449997;84802900
14/12/2022;92500000;93459999;89870003;91580002;91580002;70298000
13/12/2022;95230003;96250000;90519997;92489998;92489998;100212000
12/12/2022;89209999;90580002;87870003;90550003;90550003;61999800
9/12/2022;88900002;90300003;88629997;89089996;89089996;67398500
8/12/2022;89239998;90860001;87879997;90349998;90349998;73305900
7/12/2022;88339996;89889999;87480003;88459999;88459999;68086900
6/12/2022;90500000;91040001;87900002;88250000;88250000;75503600
5/12/2022;93050003;94059998;90820000;91010002;91010002;71535500
2/12/2022;94480003;95360001;93779999;94129997;94129997;72496400
1/12/2022;96989998;97230003;94919998;95500000;95500000;68488000
30/11/2022;92470001;96540001;91529999;96540001;96540001;102805800
29/11/2022;94040001;94410004;91440002;92419998;92419998;65567300
28/11/2022;93930000;96400002;93430000;93949997;93949997;74943100
25/11/2022;93790001;94430000;93070000;93410004;93410004;35088600
23/11/2022;93239998;94580002;92830002;94129997;94129997;59414700
22/11/2022;92620003;93349998;90870003;93199997;93199997;62192000
21/11/2022;93970001;95019997;90589996;92459999;92459999;84330300
18/11/2022;95949997;95989998;92480003;94139999;94139999;72428200
17/11/2022;95370003;96970001;94029999;94849998;94849998;82617900
16/11/2022;96849998;98489998;95540001;97120003;97120003;87958800
15/11/2022;103209999;103790001;97339996;98940002;98940002;111336300
14/11/2022;98769997;100120003;97290001;98489998;98489998;99533100
11/11/2022;97879997;101190002;96660004;100790001;100790001;111590500
10/11/2022;92940002;98690002;91650002;96629997;96629997;173414900
9/11/2022;89470001;89480003;85870003;86139999;86139999;90796200
8/11/2022;90790001;91720001;88230003;89980003;89980003;88703400
7/11/2022;91949997;92099998;89040001;90529999;90529999;77495700
4/11/2022;91489998;92440002;88040001;90980003;90980003;129101300
3/11/2022;92470001;93500000;89019997;89300003;89300003;136683300
2/11/2022;97320000;97739998;92010002;92120003;92120003;135761800
1/11/2022;103989998;104580002;96059998;96790001;96790001;153370000
31/10/2022;103559998;104870003;100739998;102440002;102440002;99251400
28/10/2022;97910004;103959999;97660004;103410004;103410004;223133400
27/10/2022;113919998;114120003;109769997;110959999;110959999;129605400
26/10/2022;116000000;119349998;114760002;115660004;115660004;68802300
25/10/2022;119650002;121320000;118949997;120599998;120599998;50934600
24/10/2022;119980003;120389999;116570000;119820000;119820000;49531500
